node_id	name
1	ACYCLOVIR
2	AMIODARONE
3	AMPICILLIN
4	ATENOLOL
5	CAPTOPRIL
6	CEFAZOLIN
7	CEFOTAXIME
8	CEFTAZIDIME
9	CEFTIZOXIME
10	CIPROFLOXACIN
11	CODEINE
12	ENALAPRIL
13	GENTAMICIN
14	IBUPROFEN
15	LABETALOL
16	MEPERIDINE
17	NADOLOL
18	NAPROXEN
19	QUINIDINE
20	RANITIDINE
21	WARFARIN
22	ALLOPURINOL
23	AZATHIOPRINE
24	CHLORAMPHENICOL
25	FENOPROFEN
26	HALOPERIDOL
27	KETOPROFEN
28	NAFCILLIN
29	PENTAMIDINE
30	PROBENECID
31	PROPRANOLOL
32	SULINDAC
33	ZIDOVUDINE
34	CHLOROQUINE
35	CYCLOPHOSPHAMIDE
36	DOXYCYCLINE
37	FLUCYTOSINE
38	INDOMETHACIN
39	OXAZEPAM
40	TETRACYCLINE
41	CHLORPROPAMIDE
42	CLINDAMYCIN
43	CLONIDINE
44	DILTIAZEM
45	ERYTHROMYCIN
46	RIFAMPIN
47	VERAPAMIL
48	ACETAMINOPHEN
49	METHADONE
50	NIFEDIPINE
51	CEFTRIAXONE
52	CEPHRADINE
53	TOLMETIN
54	CEFOTETAN
55	CEFUROXIME
56	PIPERACILLIN
57	CARBAMAZEPINE
58	LIDOCAINE
59	METHOTREXATE
60	LITHIUM
61	CEFAMANDOLE
62	CHLORPROMAZINE
63	FOSCARNET
64	GANCICLOVIR
65	AZTREONAM
66	ETHAMBUTOL
67	TOBRAMYCIN
68	FUROSEMIDE
69	FLUCONAZOLE
70	CEFIXIME
71	CEFPROZIL
73	PROCAINAMIDE
74	AMPHOTERICIN B
75	DIDANOSINE
76	CYCLOSPORINE
77	CEFADROXIL
78	CEFACLOR
79	IMIPENEM-CILASTATIN
80	VALPROIC ACID
81	PREDNISOLONE
82	RIBAVIRIN
83	AMANTADINE
84	AMIKACIN
85	AMOXICILLIN
86	AMOXICILLIN-CLAVULANATE
87	AMPICILLIN-SULBACTAM
88	AZITHROMYCIN
89	CARBENICILLIN
90	CEFMETAZOLE
91	CEFOXITIN
92	CEFPODOXIME
93	CEPHALEXIN
94	CLARITHROMYCIN
95	DAPSONE
96	ENOXACIN
97	GRISEOFULVIN
98	ISONIAZID
99	ITRACONAZOLE
100	KETOCONAZOLE
101	LOMEFLOXACIN
102	LORACARBEF
103	METHENAMINE
104	METHICILLIN
105	METRONIDAZOLE
106	MEZLOCILLIN
107	MINOCYCLINE
108	NITROFURANTOIN
109	NORFLOXACIN
110	OFLOXACIN
111	OXACILLIN
112	PENICILLIN
113	PYRAZINAMIDE
114	SULFADIAZINE
115	SULFAMETHOXAZOLE
117	TICARCILLIN
118	TICARCILLIN-CLAVULANATE
119	TRIMETHOPRIM
120	SULFAMETHOXAZOLE-TRIMETHOPRIM
121	VANCOMYCIN
122	ACEBUTOLOL
123	DIAZOXIDE
124	HYDRALAZINE
125	METHYLDOPA
126	METOPROLOL
127	MINOXIDIL
128	PINDOLOL
129	PRAZOSIN
130	TIMOLOL
131	CIMETIDINE
132	FAMOTIDINE
133	THEOPHYLLINE
134	PHENYTOIN
135	NORTRIPTYLINE
136	DESIPRAMINE
137	AMITRIPTYLINE
138	CHLORAL HYDRATE
139	DIAZEPAM
140	LORAZEPAM
141	COLCHICINE
142	CLOXACILLIN
143	DICLOXACILLIN
144	MEBENDAZOLE
145	MICONAZOLE
146	NALIDIXIC ACID
147	QUINACRINE
148	STREPTOMYCIN
149	ACETAZOLAMIDE
150	ADENOSINE
151	ALFENTANIL
152	ALPRAZOLAM
153	AMILORIDE
154	ASPIRIN
155	AMOBARBITAL
158	ATROPINE
159	BENZTROPINE
160	BETAXOLOL
161	BLEOMYCIN
162	BROMOCRIPTINE
163	BUMETANIDE
164	BUPIVACAINE
165	BUPROPION
166	BUSPIRONE
167	BUSULFAN
168	CARBIDOPA
169	CARBOPLATIN
170	CEPHALOTHIN
171	CEPHAPIRIN
172	CHLORAMBUCIL
173	CHLORDIAZEPOXIDE
174	CHLOROTHIAZIDE
175	CHLORPHENIRAMINE
176	CHLORTHALIDONE
177	CHOLESTYRAMINE
178	CISPLATIN
179	CLONAZEPAM
180	CLORAZEPATE
181	CLOZAPINE
182	CROMOLYN
183	CYTARABINE
184	DACARBAZINE
185	DACTINOMYCIN
186	DANAZOL
187	DAUNORUBICIN
188	DEXAMETHASONE
189	DEXTROMETHORPHAN
190	DIFLUNISAL
191	DIGITOXIN
192	DIGOXIN
193	DIHYDROERGOTAMINE
194	DIPHENHYDRAMINE
195	DIPYRIDAMOLE
196	DISOPYRAMIDE
197	DOBUTAMINE
198	DOPAMINE
199	DOXEPIN
200	DOXORUBICIN
201	DROPERIDOL
202	EDROPHONIUM
203	ERGOTAMINE
204	EPOETIN ALFA
205	ESMOLOL
206	ETHCHLORVYNOL
207	ETHOSUXIMIDE
208	ETHINYL ESTRADIOL
209	ETOPOSIDE
210	FELODIPINE
211	FENTANYL
212	FLECAINIDE
213	FLUOROURACIL
214	FLUOXETINE
215	FLUPHENAZINE
216	FLURAZEPAM
217	FLURBIPROFEN
218	FLUTAMIDE
219	FOLIC ACID
220	FOSINOPRIL
221	FURAZOLIDONE
222	GEMFIBROZIL
223	GLIPIZIDE
224	GLYBURIDE
225	GOLD SODIUM THIOMALATE
226	HEPARIN
227	HYDROCHLOROTHIAZIDE
228	HYDROCORTISONE
229	HYDROMORPHONE
230	IDARUBICIN
231	IFOSFAMIDE
232	IMIPRAMINE
233	INDAPAMIDE
234	INSULIN
235	IPRATROPIUM
236	ISOFLURANE
237	ISOSORBIDE DINITRATE
238	ISOSORBIDE MONONITRATE
239	ISRADIPINE
240	KANAMYCIN
241	KETAMINE
242	KETOROLAC
243	LEUCOVORIN
244	LEVAMISOLE
245	LEVODOPA
246	LEVOTHYROXINE
247	LINCOMYCIN
248	LOVASTATIN
249	MANNITOL
250	MECLOFENAMATE
251	MEDROXYPROGESTERONE
252	MEFENAMIC ACID
253	MEFLOQUINE
254	MELPHALAN
255	MEPROBAMATE
256	MERCAPTOPURINE
257	METHIMAZOLE
258	METHSUXIMIDE
259	METHYLPREDNISOLONE
260	METHYLTESTOSTERONE
261	METIPRANOLOL OPHTHALMIC
262	METOCLOPRAMIDE
263	METOLAZONE
264	MEXILETINE
265	MIDAZOLAM
266	MILRINONE
267	MISOPROSTOL
268	MITOMYCIN
269	MITOXANTRONE
271	MORPHINE
272	NABUMETONE
273	NALOXONE
274	NEOMYCIN
275	NEOSTIGMINE
276	NIACIN
277	NICARDIPINE
278	NICOTINE
279	NIMODIPINE
280	NITROGLYCERIN
281	NIZATIDINE
282	NOREPINEPHRINE
283	OMEPRAZOLE
284	OXYBUTYNIN
285	OXYCODONE
286	PANCURONIUM
287	PARAAMINOBENZOIC ACID
288	PENBUTOLOL
289	PENICILLAMINE
290	PENTAZOCINE
291	PENTOBARBITAL
292	PENTOXIFYLLINE
293	PHENAZOPYRIDINE
294	PHENOBARBITAL
295	PHENYLBUTAZONE
296	PHYSOSTIGMINE
297	PIROXICAM
298	POLYMYXIN B SULFATE
299	POTASSIUM CHLORIDE
300	POVIDONE IODINE TOPICAL
301	PRAVASTATIN
302	PRAZIQUANTEL
303	PREDNISONE
304	PRIMAQUINE
305	PRIMIDONE
306	PROBUCOL
307	PROCARBAZINE
308	PROCHLORPERAZINE
309	PROMAZINE
310	PROPAFENONE
311	PROPANTHELINE
312	PROPOXYPHENE
313	PROPYLTHIOURACIL
314	PROTAMINE
315	PYRIDOSTIGMINE
316	PYRIMETHAMINE
